bnf_class_code,bnf_drug_code,bnf_drug_name,p_value,distribution,route,disp_ratio,disp_p,lb_p,nw_lag,hac_capped,theta,b_sin12,b_cos12,b_sin6,b_cos6,converged,note,drug_all_q_bh,drug_significant,inference_scope,multiplicity_family,bnf_class_name,class_q_bh,class_significant,parent_class_significant,conditional_drug_q_legacy,conditional_drug_significant_legacy
030401,0304010D0,Loratadine,0,poisson,HAC-Wald,140.603649190097,0.000468361858898256,0.00120007433132896,5.92282670388385,FALSE,,-0.00385365240927259,-0.121451782221792,-0.0106583798155237,0.0287817400378846,TRUE,,0,TRUE,secondary_exploratory,all_eligible_drugs,Antihistamines,1.95040709693529e-226,TRUE,TRUE,0,TRUE
030401,0304010I0,Cetirizine hydrochloride,1.38209298793676e-296,poisson,HAC-Wald,420.222583044505,0.0005573795963116,0.000440962515910415,4.22970379443791,FALSE,,-0.00412585106675891,-0.109173851726281,-0.0100049294851941,0.026033940678197,TRUE,,6.730792851252e-294,TRUE,secondary_exploratory,all_eligible_drugs,Antihistamines,1.95040709693529e-226,TRUE,TRUE,4.54708593031193e-294,TRUE
030401,0304010A0,Acrivastine,4.13990259631736e-279,poisson,HAC-Wald,4.29286359855049,0.00627946133848839,0.0373517046378433,1.60225994579151,FALSE,,-0.0152691429084047,-0.157984054107469,-0.00424101720530431,0.0377594819807605,TRUE,,1.34408837627104e-276,TRUE,secondary_exploratory,all_eligible_drugs,Antihistamines,1.95040709693529e-226,TRUE,TRUE,9.08018636125608e-277,TRUE
110402,1104020T0,Sodium cromoglicate,3.97127991538441e-239,poisson,HAC-Wald,700.986646363357,0.00588716232953899,9.26565258597689e-05,0.623220137784208,FALSE,,0.0189781371443854,-0.398292011320162,-0.0286790111694649,0.124830612173742,TRUE,,9.67006659396105e-237,TRUE,secondary_exploratory,all_eligible_drugs,Other anti-inflammatory preparations,7.18501992677657e-144,TRUE,TRUE,6.53275546080736e-237,TRUE
090202,0902021X0,Water for injection,2.0844261911598e-198,poisson,HAC-Wald,16.5872270839824,6.06106744845719e-11,0.0132993169621263,11.2253618204432,FALSE,,0.0206107130698546,0.0434684194756112,0.00751677286707041,0.0201224358276652,TRUE,,4.0604622203793e-196,TRUE,secondary_exploratory,all_eligible_drugs,Parent prepn for fluid and electrolyte imb,6.15845376198558e-09,TRUE,TRUE,2.7431048675663e-196,TRUE
020602,0206020R0,Nifedipine,2.49201522571961e-185,poisson,HAC-Wald,66.4214776447707,1.16066677851204e-07,6.32562795773728e-05,4.90783973992298,FALSE,,0.0305815972429496,0.0279287332849135,-0.00386644076157798,0.00256923162796112,TRUE,,4.04537138308483e-183,TRUE,secondary_exploratory,all_eligible_drugs,Calcium-channel blockers,3.20982104870482e-14,TRUE,TRUE,2.7329100308725e-183,TRUE
110402,1104020W0,Azelastine hydrochloride,1.56351158184924e-179,poisson,HAC-Wald,116.769407996859,0.00732825941885771,0.000247843062247011,1.53793248665557,FALSE,,0.0189928043784017,-0.472952118793747,-0.0222283108222556,0.162165165464726,TRUE,,2.17551468674451e-177,TRUE,secondary_exploratory,all_eligible_drugs,Other anti-inflammatory preparations,7.18501992677657e-144,TRUE,TRUE,1.46970088693829e-177,TRUE
131001,1310012K0,Metronidazole,1.2380403280321e-162,poisson,HAC-Wald,34.0822940697302,3.00711982014827e-07,0.0102448511252248,2.17835944319528,FALSE,,0.113637240466281,-0.0732452053774172,-0.0321229698206204,-0.0289971136888499,TRUE,,1.50731409937908e-160,TRUE,secondary_exploratory,all_eligible_drugs,Antibacterial preparations,0.0117193096799549,TRUE,TRUE,1.0182881698064e-160,TRUE
130603,1306030B0,Ivermectin,2.45897707662938e-158,poisson,HAC-Wald,20.1051420348285,2.15739184490597e-08,1.43307311428753e-06,8.47941430410229,FALSE,,0.0930445650552852,-0.093983232050668,-0.0383122582821376,-0.00176504187759002,TRUE,,2.66115963626335e-156,TRUE,secondary_exploratory,all_eligible_drugs,Topical preparation for rosacea,2.45879982359496e-118,TRUE,TRUE,1.79778546269126e-156,TRUE
110402,1104020AC,Epinastine hydrochloride,3.56295421937306e-152,poisson,Poisson-LRT,2.08992600038198,0.0863072022623508,0.209149537729395,,,,0.0572867640342063,-0.443812397146767,-0.0244138323765284,0.0937798328649367,TRUE,,3.47031740966936e-150,TRUE,secondary_exploratory,all_eligible_drugs,Other anti-inflammatory preparations,7.18501992677657e-144,TRUE,TRUE,2.34442387634747e-150,TRUE
030902,0309020D0,Simple,1.97003961983291e-145,poisson,HAC-Wald,47.852806853539,5.38338998388516e-05,0.0370271166154359,11.2549542986269,FALSE,,0.129561059491961,0.300477084371205,-0.0916911286973994,0.0808530069754628,TRUE,,1.74438053610659e-143,TRUE,secondary_exploratory,all_eligible_drugs,Expectorant and demulcent cough preparations,7.19264838400822e-140,TRUE,TRUE,1.17844188168187e-143,TRUE
110402,1104020Z0,Olopatadine,5.85126556504207e-141,poisson,HAC-Wald,201.548104800186,0.00580911868420912,9.00358638963317e-05,0.742087613685083,FALSE,,0.0132974377371627,-0.292004251881821,-0.0189772477507055,0.0880645602139777,TRUE,,4.74927721695915e-139,TRUE,secondary_exploratory,all_eligible_drugs,Other anti-inflammatory preparations,7.18501992677657e-144,TRUE,TRUE,3.20844395149807e-139,TRUE
131002,1310020A0,Amorolfine hydrochloride,9.94154947406827e-138,poisson,HAC-Wald,30.2228442534238,7.99112032922279e-07,0.000750154595866359,5.34932053042675,FALSE,,-0.0192933180397764,-0.118427435471744,0.0126740453327639,-0.0184554959565191,TRUE,,7.44851475980192e-136,TRUE,secondary_exploratory,all_eligible_drugs,Antifungal preparations,0.000226648496068398,TRUE,TRUE,5.0319535030284e-136,TRUE
030401,0304010E0,Fexofenadine hydrochloride,2.20254826487391e-137,poisson,HAC-Wald,1277.27239361459,0.00618095443471032,0.0142446228542683,1.93720572336469,FALSE,,-0.0106978024261641,-0.186137485291498,-0.00992585944298848,0.0505421254140092,TRUE,,1.53234429284799e-135,TRUE,secondary_exploratory,all_eligible_drugs,Antihistamines,1.95040709693529e-226,TRUE,TRUE,1.03519768449074e-135,TRUE
100104,1001040G0,Colchicine,6.19529788812982e-104,poisson,HAC-Wald,63.5919055186285,1.43616822946172e-06,0.012674276701827,0.952455840189082,FALSE,,-0.00973289346704714,-0.097228821249751,0.0328560938851974,0.00744693530235224,TRUE,,4.0228134286923e-102,TRUE,secondary_exploratory,all_eligible_drugs,Gout and cytotoxic induced hyperuicaemia,1.06784116477649e-16,TRUE,TRUE,2.71767067359295e-102,TRUE
030401,0304010G0,Chlorphenamine maleate,1.70974443289262e-98,poisson,HAC-Wald,151.113723915224,0.000261472616708678,3.80355109784736e-05,2.15064743850801,FALSE,,0.0224334886837006,-0.100821870454203,-0.0105139274254606,0.034397943594254,TRUE,,1.04080692352339e-96,TRUE,secondary_exploratory,all_eligible_drugs,Antihistamines,1.95040709693529e-226,TRUE,TRUE,7.03132398027092e-97,TRUE
050103,0501030I0,Doxycycline hyclate,1.02438412209372e-94,poisson,HAC-Wald,3106.20464441934,0.00554402934563213,0.00782245939260984,3.22981163853156,FALSE,,0.137177859647633,0.229464570620507,-0.021735953463202,0.0763403467480849,TRUE,,5.86911844070169e-93,TRUE,secondary_exploratory,all_eligible_drugs,Tetracyclines,3.22372888099791e-88,TRUE,TRUE,3.96496913139806e-93,TRUE
030901,0309010C0,Codeine phosphate,4.35814978203385e-83,poisson,HAC-Wald,37.2688642714311,2.41018981359895e-07,2.88294721428883e-10,6.12630798874486,FALSE,,0.0853468430617117,0.162979764470941,-0.0126507011607528,0.0440495135533386,TRUE,,2.35824327094499e-81,TRUE,secondary_exploratory,all_eligible_drugs,Cough suppressants,1.81028868884518e-49,TRUE,TRUE,1.59314586476571e-81,TRUE
120201,1202010Y0,Fluticasone propionate/azelastine hydrochloride (Nasal),9.84572863624919e-83,poisson,HAC-Wald,142.976368074231,0.000792052452448747,1.5521498567872e-05,4.07592495210945,FALSE,,0.0180853784303291,-0.106428229968333,-0.0159172273265082,0.047989285413418,TRUE,,5.04723141668774e-81,TRUE,secondary_exploratory,all_eligible_drugs,Drugs used in nasal allergy,4.93335033400967e-52,TRUE,TRUE,3.4097312856063e-81,TRUE
131200,1312000C0,Aluminium chloride,8.8664960625009e-79,poisson,HAC-Wald,17.6147424597074,0.000118368030840074,0.0144553889762442,3.10086996019105,FALSE,,-0.0771942147767895,-0.143988205981821,0.018228576703954,-0.015678726174576,TRUE,,4.31798358243794e-77,TRUE,secondary_exploratory,all_eligible_drugs,Antiperspirants,2.92087891177799e-80,TRUE,TRUE,2.9170772045628e-77,TRUE
050304,0503040B0,Oseltamivir phosphate,7.79723884165772e-70,poisson,HAC-Wald,614.487686055922,0.0156989460454881,0.0248615110274991,0.856271909514563,FALSE,,1.4576532958908,1.76603354704628,0.0887772137951821,0.663856358229512,TRUE,,3.61643363417839e-68,TRUE,secondary_exploratory,all_eligible_drugs,Influenza,1.28759388270775e-68,TRUE,TRUE,2.44313483705275e-68,TRUE
120201,1202010I0,Budesonide,9.80364993880112e-65,poisson,HAC-Wald,8.07641509932694,5.05998991428147e-05,0.00182408607122597,9.85538291003696,FALSE,,0.014974895311606,-0.0685175457447951,-0.00827951966825948,0.015361391678666,TRUE,,4.34034320017831e-63,TRUE,secondary_exploratory,all_eligible_drugs,Drugs used in nasal allergy,4.93335033400967e-52,TRUE,TRUE,2.93218257260506e-63,TRUE
050506,0505060I0,Ivermectin,8.95542925086484e-61,poisson,HAC-Wald,22.3831669442745,7.0841066054369e-10,0.0402378723035992,1.10018397417083,FALSE,,0.165859647837377,0.196346804292352,-0.0339212382997131,0.0137609344367144,TRUE,,3.79242960449667e-59,TRUE,secondary_exploratory,all_eligible_drugs,Filaricides,1.97019443519026e-59,TRUE,TRUE,2.56203149872568e-59,TRUE
110402,1104020M0,Lodoxamide trometamol,1.39997705830991e-58,poisson,HAC-Wald,8.63538368437668,0.0352156000189009,0.033473603576772,2.84594231529045,FALSE,,0.0236073956448888,-0.262815757603073,-0.0237224655403174,0.0604852221217629,TRUE,,5.68157356164105e-57,TRUE,secondary_exploratory,all_eligible_drugs,Other anti-inflammatory preparations,7.18501992677657e-144,TRUE,TRUE,3.83827043486633e-57,TRUE
130801,1308010W0,Diclofenac sodium,2.93927248918348e-57,poisson,HAC-Wald,57.3090185917787,5.73897711753591e-08,0.000506100869706372,7.751899755682,FALSE,,-0.0824555765572365,-0.126193215862253,-0.00691489163739745,-0.0171525289724861,TRUE,,1.14514056178588e-55,TRUE,secondary_exploratory,all_eligible_drugs,Sunscreening preparations,3.30769565126227e-31,TRUE,TRUE,7.73616519153091e-56,TRUE
110402,1104020Y0,Ketotifen fumarate,6.39050043590614e-56,poisson,HAC-Wald,11.9981087454237,0.00804266018885561,0.032740096027276,3.60317819665095,FALSE,,-0.0150931184975335,-0.198126304004551,-0.0154376059309534,0.0614109795521087,TRUE,,2.39397977868176e-54,TRUE,secondary_exploratory,all_eligible_drugs,Other anti-inflammatory preparations,7.18501992677657e-144,TRUE,TRUE,1.61728818724086e-54,TRUE
120201,1202010A0,Azelastine hydrochloride,6.87749334087586e-51,poisson,HAC-Wald,54.6250609002863,0.00873982721639265,0.0264245504516594,0.344949784864583,FALSE,,0.0195820783991441,-0.225285544346797,-0.0322726514519714,0.108555729859258,TRUE,,2.48099204222707e-49,TRUE,secondary_exploratory,all_eligible_drugs,Drugs used in nasal allergy,4.93335033400967e-52,TRUE,TRUE,1.67607059936901e-49,TRUE
020202,0202020L0,Furosemide,1.38022166480988e-50,poisson,HAC-Wald,601.870412606596,3.87576047786739e-09,2.95848289222356e-06,9.76971051510642,FALSE,,-0.00807757394971314,-0.0137486739813564,0.00101368432985337,0.00429090921459283,TRUE,,4.80119964830294e-49,TRUE,secondary_exploratory,all_eligible_drugs,Loop diuretics,1.23408769764989e-38,TRUE,TRUE,3.24352091230322e-49,TRUE
120202,1202020P0,Xylometazoline hydrochloride,6.95296768132128e-50,poisson,HAC-Wald,8.13704797373256,5.45464190132857e-08,1.07802655691103e-13,2.09706037995731,FALSE,,0.113896912437877,0.101503159106651,-0.0146326359553367,0.0334861474920233,TRUE,,2.33523811089894e-48,TRUE,secondary_exploratory,all_eligible_drugs,Topical nasal decongestants,0.00140116339488567,TRUE,TRUE,1.57760439114117e-48,TRUE
050101,0501013B0,Amoxicillin,3.14925903293958e-48,poisson,HAC-Wald,11125.2654507066,0.00618743313043236,0.00628019425534743,2.14509917293213,FALSE,,0.170735636878179,0.325469094361771,-0.0642492370616801,0.106970572369658,TRUE,,1.02245943269438e-46,TRUE,secondary_exploratory,all_eligible_drugs,Penicillins,5.41228415339323e-21,TRUE,TRUE,6.90737481224747e-47,TRUE
100302,1003020AF,Diclofenac diethyl,2.04813049497411e-46,poisson,HAC-Wald,215.174430764473,3.65662349159578e-09,0.000493128781124397,12,TRUE,,-0.0105340007284477,-0.0190977921740626,-0.00431627354323362,-0.00931010080320731,TRUE,,6.43509387775736e-45,TRUE,secondary_exploratory,all_eligible_drugs,"Rubefacients, topical NSAIDs, capsaicin and poultices",1.55919199584476e-59,TRUE,TRUE,4.34732214739665e-45,TRUE
060302,0603020T0,Prednisolone,1.38911506245793e-45,poisson,HAC-Wald,1382.19143432252,0.000321197581341116,0.0101113581554407,1.90169860423529,FALSE,,0.0432370492951719,0.118498069242409,-0.02214779734869,0.0484962685623402,TRUE,,4.22811897135631e-44,TRUE,secondary_exploratory,all_eligible_drugs,Glucocorticoid therapy,7.99962161406946e-42,TRUE,TRUE,2.85636784717911e-44,TRUE
010704,0107040A0,Glyceryl trinitrate,2.26103516898786e-43,poisson,HAC-Wald,14.5339913715732,4.92315253009197e-09,9.05269557593957e-06,7.72484896024738,FALSE,,0.0454288488143531,0.0471746657612333,0.00167569931838867,-0.0115687420733115,TRUE,,6.6734795593763e-42,TRUE,secondary_exploratory,all_eligible_drugs,Management of anal fissures,3.55305526555235e-42,TRUE,TRUE,4.50836709452731e-42,TRUE
110301,1103010G0,Gentamicin sulfate,5.33249362009789e-43,poisson,HAC-Wald,6.78848648203061,5.53282571849454e-06,0.0223380191743794,6.13529494883482,FALSE,,-0.0957837389538611,0.0518083800590727,0.038167088962557,-0.0516884603320385,TRUE,,1.52760258411039e-41,TRUE,secondary_exploratory,all_eligible_drugs,Antibacterials,9.40936355817698e-11,TRUE,TRUE,1.03199435353659e-41,TRUE
040101,0401010Z0,Zopiclone,1.90151671376419e-41,poisson,HAC-Wald,250.309575115198,4.12791589803724e-10,8.58071565256191e-05,12,TRUE,,0.00369493820124149,0.0218560279926291,0.00159941345086565,-0.00557613821424484,TRUE,,5.29164936916092e-40,TRUE,secondary_exploratory,all_eligible_drugs,Hypnotics,8.49270687446684e-13,TRUE,TRUE,3.57485142187668e-40,TRUE
060104,0601040I0,Glucose,3.06529986226543e-37,poisson,HAC-Wald,22.890022477468,8.70673255392241e-08,0.00643467412005971,2.1986453491468,FALSE,,-0.0126739550626666,-0.0264537639137264,0.00828688174669473,0.00405914857483931,TRUE,,8.29333907179592e-36,TRUE,secondary_exploratory,all_eligible_drugs,Treatment of hypoglycaemia,7.73581751734925e-32,TRUE,TRUE,5.60268697047404e-36,TRUE
120203,1202030S0,Neomycin sulfate,8.91480268554495e-37,poisson,HAC-Wald,214.31251654631,3.87857345005248e-06,0.0162640359195639,1.16347994587971,FALSE,,0.171729704795586,-0.0482468090424209,0.017248506097863,0.0551789215730353,TRUE,,2.34676157181643e-35,TRUE,secondary_exploratory,all_eligible_drugs,Nasal preparations for infection,1.53124033203395e-34,TRUE,TRUE,1.58538923434826e-35,TRUE
130502,1305020D0,Calcipotriol,1.23237780643332e-35,poisson,HAC-Wald,100.066752127356,4.9514166531816e-07,0.00719419867994386,1.96604694259584,FALSE,,0.0306703954249283,-0.0286503881812492,-0.000932274331806756,0.000392535494540077,TRUE,,3.15877890385804e-34,TRUE,secondary_exploratory,all_eligible_drugs,Preparations for psoriasis,2.00974064079059e-55,TRUE,TRUE,2.13395946482401e-34,TRUE
130201,1302011L0,Light liquid paraffin,7.94055828139602e-35,poisson,HAC-Wald,33.0292976015219,5.54046164776468e-08,0.0162812007280765,1.83867257485559,FALSE,,0.0601575095561352,-0.0231146735088235,-0.0100873890625639,0.0110711604097028,TRUE,,1.98310352976403e-33,TRUE,secondary_exploratory,all_eligible_drugs,Emollients,4.56697434699239e-18,TRUE,TRUE,1.33971470491246e-33,TRUE
120101,1201010AG,Phenazone/lidocaine,2.23250221284067e-34,poisson,HAC-Wald,54.9712793981419,1.14023904751048e-07,2.17526296443227e-05,1.43973455776651,FALSE,,0.199325078607471,0.246683090485426,-0.0214099859268871,0.0685040767324152,TRUE,,5.43614288826704e-33,TRUE,secondary_exploratory,all_eligible_drugs,Otitis externa,4.03048405132221e-10,TRUE,TRUE,3.67246614012291e-33,TRUE
120201,1202010U0,Mometasone furoate,4.05298989741447e-34,poisson,HAC-Wald,441.381556834321,0.000102689176119889,0.00205334816487546,2.02121636915834,FALSE,,0.0399411016265385,-0.0475984551377157,-0.011165207950297,0.0242896011863262,TRUE,,9.62832234166266e-33,TRUE,secondary_exploratory,all_eligible_drugs,Drugs used in nasal allergy,4.93335033400967e-52,TRUE,TRUE,6.50455451828956e-33,TRUE
030401,0304010AF,Bilastine,1.80483247553282e-31,poisson,Poisson-LRT,1.10191616745147,0.681071413218174,0.239596932988021,,,,0.00534744056453563,-0.138851243648917,-0.00166934852663552,0.0355574679777461,TRUE,,4.1854924551642e-30,TRUE,secondary_exploratory,all_eligible_drugs,Antihistamines,1.95040709693529e-226,TRUE,TRUE,2.82757087833475e-30,TRUE
030402,0304020AB,Timothy grass pollen allergen extract,4.33369289302951e-30,poisson,Poisson-LRT,1.0567916644797,0.754289688035171,0.101219131923712,,,,0.0860192049489923,-0.14172813323408,-0.0234858988383533,0.012029035569879,TRUE,,9.8163183204901e-29,TRUE,secondary_exploratory,all_eligible_drugs,Allergen immunotherapy,1.06312758467361e-23,TRUE,TRUE,6.63155796189167e-29,TRUE
030200,0302000C0,Beclometasone dipropionate,3.47056834273804e-29,poisson,HAC-Wald,895.017895153268,2.98556636144661e-08,0.000135471949362365,0.802994749424387,FALSE,,0.00964176504901138,0.027552697534977,-0.00792117089213782,0.0160629129519823,TRUE,,7.68257628597012e-28,TRUE,secondary_exploratory,all_eligible_drugs,Corticosteroids (respiratory),5.7573277320653e-30,TRUE,TRUE,5.19007720345825e-28,TRUE
130900,1309000X0,Eflornithine monohydrate chloride,4.27464362351503e-28,poisson,HAC-Wald,2.9273395492056,0.0036445061807968,0.00801194165442998,3.74820442212525,FALSE,,-0.0150559311338341,-0.0298452166585697,0.00318861670311477,-0.00650764197978663,TRUE,,9.25222864289698e-27,TRUE,secondary_exploratory,all_eligible_drugs,Shampoo and other preparations for scalp and hair conditions,0.00494846301137637,TRUE,TRUE,6.2504788983842e-27,TRUE
130700,1307000M0,Salicylic acid,1.43851342811945e-27,poisson,HAC-Wald,34.6606998668908,6.26160933153201e-06,9.6124039054013e-06,1.14932708163983,FALSE,,-0.0696712876184364,-0.129728375152624,0.022977070946782,-0.0371070551094269,TRUE,,3.0458958238877e-26,TRUE,secondary_exploratory,all_eligible_drugs,Preparations for warts and calluses,8.58535976194372e-32,TRUE,TRUE,2.05769964283173e-26,TRUE
130801,130801000,Other sunscreening preparations,1.75984836745478e-27,negbin,NB-LRT,31.2170376560408,5.59492556024408e-06,0.0577013258263417,,,121.962921474536,-0.0943294586994282,-0.482403615925484,-0.0229130443924977,0.0432408995752495,TRUE,,3.64700491468288e-26,TRUE,secondary_exploratory,all_eligible_drugs,Sunscreening preparations,3.30769565126227e-31,TRUE,TRUE,2.46378771443669e-26,TRUE
130201,130201000,Other emollient preparations,2.94164756553563e-27,poisson,HAC-Wald,413.125554117863,1.34160882350671e-07,0.00869952348784953,8.77829129343169,FALSE,,0.0219719325432661,-0.0176647928537353,0.0010667837227633,0.000395818185924673,TRUE,,5.96909318506606e-26,TRUE,secondary_exploratory,all_eligible_drugs,Emollients,4.56697434699239e-18,TRUE,TRUE,4.0325085377551e-26,TRUE
030200,0302000K0,Budesonide,3.54754833667584e-27,poisson,HAC-Wald,213.600435617119,3.5647104051259e-06,0.000499036320941504,4.93312697611524,FALSE,,0.00997425050605056,0.0177496999475019,-0.00287508892649692,0.0132345215813456,TRUE,,7.05165730596381e-26,TRUE,secondary_exploratory,all_eligible_drugs,Corticosteroids (respiratory),5.7573277320653e-30,TRUE,TRUE,4.76385062353613e-26,TRUE
030401,0304010AB,Desloratadine,6.96444935059886e-27,negbin,NB-LRT,16.2357302717792,0.00574468385888056,0.0573341361769677,,,1196.73142923429,0.00403002965634457,-0.152609076286488,-0.0159400828430291,0.029060791123993,TRUE,,1.35667473349666e-25,TRUE,secondary_exploratory,all_eligible_drugs,Antihistamines,1.95040709693529e-226,TRUE,TRUE,9.1652153453881e-26,TRUE
060602,0606020Z0,Denosumab,8.69095545723368e-27,poisson,HAC-Wald,14.0107251830346,1.39209605324243e-05,1.08408667857107e-05,12,TRUE,,0.000556990111413057,-0.00158722340319235,0.00519278279336326,0.0274429012043936,TRUE,,1.65980208144032e-25,TRUE,secondary_exploratory,all_eligible_drugs,Bisphosphonates and other drugs,0.0694650838455479,FALSE,FALSE,,FALSE
010701,0107010Z0,Zinc oxide,3.87079292033149e-26,poisson,HAC-Wald,16.7280978905077,1.33878348617228e-08,0.000657532110687975,12,TRUE,,0.00860964601548797,0.0190966253121762,0.00400338103174332,-0.0111606893881887,TRUE,,7.25029289308245e-25,TRUE,secondary_exploratory,all_eligible_drugs,Soothing haemorrhoidal preparations,3.88567411103636e-20,TRUE,TRUE,4.99408184623161e-25,TRUE
060302,0603020G0,Dexamethasone,1.81126983016531e-25,poisson,HAC-Wald,89.9896255975378,1.21511003657526e-05,0.039940263501741,5.25455060372468,FALSE,,-0.0191975742235725,0.0940622012338129,-0.0492107586473108,0.0398237681252086,TRUE,,3.32863549920945e-24,TRUE,secondary_exploratory,all_eligible_drugs,Glucocorticoid therapy,7.99962161406946e-42,TRUE,TRUE,2.29195297740149e-24,TRUE
070302,0703022M0,Medroxyprogesterone acetate,4.29009462335613e-25,poisson,HAC-Wald,77.7378416264589,1.09187807629786e-08,5.55929546841583e-09,12,TRUE,,0.0220645192708212,-0.0025605797657771,0.0151771141846664,0.00370325484194906,TRUE,,7.7380595613868e-24,TRUE,secondary_exploratory,all_eligible_drugs,Progestogen-only contraceptives,0.000388275226870467,TRUE,TRUE,5.32619294748743e-24,TRUE
120202,1202020L0,Sodium chloride,1.9293937775982e-24,poisson,HAC-Wald,13.1971799697838,3.66664583698643e-07,0.000177369130400673,7.64816168149534,FALSE,,0.0103501271133209,0.019504366076664,0.00227676177571612,0.0136602669983504,TRUE,,3.41678098069209e-23,TRUE,secondary_exploratory,all_eligible_drugs,Topical nasal decongestants,0.00140116339488567,TRUE,TRUE,2.35100204751781e-23,TRUE
040101,0401010AD,Melatonin,2.11888291278983e-24,poisson,HAC-Wald,166.636711743744,2.6718660941099e-07,0.00457442717312007,12,TRUE,,0.0111344569443694,0.0112608571338711,0.000311713303576786,0.00183332870131077,TRUE,,3.68534278045946e-23,TRUE,secondary_exploratory,all_eligible_drugs,Hypnotics,8.49270687446684e-13,TRUE,TRUE,2.53495446657402e-23,TRUE
110402,1104020B0,Antazoline,5.81777246297883e-24,poisson,HAC-Wald,36.6138085781202,1.36373533946245e-05,1.11022302462516e-16,0.977846200673428,FALSE,,-0.00861447199551986,-0.340628651988215,0.0153768088100525,0.0719452456438338,TRUE,,9.94124627884453e-23,TRUE,secondary_exploratory,all_eligible_drugs,Other anti-inflammatory preparations,7.18501992677657e-144,TRUE,TRUE,6.83588264400013e-23,TRUE
060401,0604012P0,Norethisterone,6.89893882056424e-24,negbin,NB-LRT,175.801678947839,3.55180490432108e-05,0.252480230600921,,,211.909083864362,-0.0865314351689742,-0.286008575806622,0.0521687316362342,0.0166628416190826,TRUE,,1.15854593297061e-22,TRUE,secondary_exploratory,all_eligible_drugs,Female sex hormones and their modulators,0.000113754559464022,TRUE,TRUE,7.96403814724784e-23,TRUE
090201,0902011U0,Potassium chloride,8.9164863077814e-24,negbin,NB-LRT,79.5062776130503,0.000111194121673392,0.596353246814406,,,191.910306077495,-0.209338019205106,-0.220524109989935,0.0861849402520641,-0.0229892051610565,TRUE,,1.47197587521679e-22,TRUE,secondary_exploratory,all_eligible_drugs,Oral preparation for fluid and electrolyte imbalance,8.65885960246975e-07,TRUE,TRUE,1.01155999836555e-22,TRUE
120301,1203010E0,Benzydamine hydrochloride,3.64281684798431e-23,poisson,HAC-Wald,329.28199828342,1.19765386826118e-06,0.00160492343945484,1.81510160724685,FALSE,,0.0812712029975483,0.131309741296087,-0.0303466614456034,0.0476076957015301,TRUE,,5.9135060165612e-22,TRUE,secondary_exploratory,all_eligible_drugs,Drugs for oral ulceration and inflammation,2.42048686581937e-22,TRUE,TRUE,4.06266692537912e-22,TRUE
130603,1306030A0,Brimonidine tart (Rosacea),6.47057004403003e-23,poisson,HAC-Wald,21.3599603771293,0.00680603888638034,0.0179399260665615,1.20717094972801,FALSE,,0.145981699823683,-0.140054011750972,-0.0727930766979399,-0.012164848150747,TRUE,,1.03316970866971e-21,TRUE,secondary_exploratory,all_eligible_drugs,Topical preparation for rosacea,2.45879982359496e-118,TRUE,TRUE,7.0960584816196e-22,TRUE
040701,0407010H0,Paracetamol,1.77225569088078e-22,poisson,HAC-Wald,867.720220441859,2.31494199541764e-09,1.89597609456804e-06,12,TRUE,,0.000437702246168635,0.0108683656041503,-0.00427438255752965,0.00543796608485422,TRUE,,2.7841565208353e-21,TRUE,secondary_exploratory,all_eligible_drugs,Non-opioid analgesics and compound preparations,8.43977774190808e-06,TRUE,TRUE,1.91171187639271e-21,TRUE
131002,131002030,Terbinafine hydrochloride,2.54717447887865e-22,poisson,HAC-Wald,80.8091759779178,0.00110408803010824,0.0495470588685399,2.3091043316439,FALSE,,-0.0566017159925219,-0.0837351416718913,0.0137811186328829,-0.00684059405626701,TRUE,,3.93801260702826e-21,TRUE,secondary_exploratory,all_eligible_drugs,Antifungal preparations,0.000226648496068398,TRUE,TRUE,2.70329162435831e-21,TRUE
131003,1310030C0,Aciclovir,8.57260893848386e-22,poisson,HAC-Wald,9.63656305489345,1.38898555396505e-06,0.0141405041081637,1.0042238440834,FALSE,,0.0180216464234647,0.0287611285151624,-0.00376413234825278,0.0121234343409942,TRUE,,1.30464392282551e-20,TRUE,secondary_exploratory,all_eligible_drugs,Antiviral preparations,7.21065830915685e-21,TRUE,TRUE,8.95361378019425e-21,TRUE
030101,0301011R0,Salbutamol,2.03152880728498e-21,poisson,HAC-Wald,1944.47682829891,1.53448148889569e-08,0.00163566669935089,2.25313631516314,FALSE,,0.00808404870967951,0.0405495084531472,-0.0123801017466082,0.0268777694591768,TRUE,,3.04416778199318e-20,TRUE,secondary_exploratory,all_eligible_drugs,Adrenoceptor agonists,2.96694404817216e-20,TRUE,TRUE,2.08866555498987e-20,TRUE
010606,0106060C0,Naldemedine,2.77176756387868e-21,poisson,HAC-Wald,10.4091580033874,0.000956409385004451,6.63517654375667e-07,1.94104761136519,FALSE,,-0.0405142659871459,-0.134127473000066,-0.0178307543508921,0.00662012197796523,TRUE,,4.09045698063308e-20,TRUE,secondary_exploratory,all_eligible_drugs,Peripheral opioid-receptor antagonists,0.377717910393493,FALSE,FALSE,,FALSE
